id,name,category,description,price
1,Moulding and Casting Technologies Product 1,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,16787.49
2,Mobile Hydraulics and Electronics Product 2,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,15386.62
3,Linear Motion Technology Product 3,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,8984.5
4,Hägglunds Product 4,Hägglunds,High-quality hägglunds solution designed for industrial use.,17668.29
5,Moulding and Casting Technologies Product 5,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,14911.42
6,Tightening Technology Product 6,Tightening Technology,High-quality tightening technology solution designed for industrial use.,18939.82
7,Moulding and Casting Technologies Product 7,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,13952.27
8,Linear Motion Technology Product 8,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,13098.29
9,Linear Motion Technology Product 9,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,5784.71
10,Gear Technology Product 10,Gear Technology,High-quality gear technology solution designed for industrial use.,17149.65
11,Moulding and Casting Technologies Product 11,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,1985.55
12,Resistance Welding Product 12,Resistance Welding,High-quality resistance welding solution designed for industrial use.,12351.3
13,Mobile Hydraulics and Electronics Product 13,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,1062.81
14,Resistance Welding Product 14,Resistance Welding,High-quality resistance welding solution designed for industrial use.,11507.08
15,Electric Drives and Controls Product 15,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,14282.07
16,Industrial Hydraulics Product 16,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,891.38
17,Hägglunds Product 17,Hägglunds,High-quality hägglunds solution designed for industrial use.,4619.07
18,Mobile Robotics Product 18,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,8427.46
19,Kassow Robots Product 19,Kassow Robots,High-quality kassow robots solution designed for industrial use.,8173.79
20,Resistance Welding Product 20,Resistance Welding,High-quality resistance welding solution designed for industrial use.,17382.15
21,Linear Motion Technology Product 21,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,15422.59
22,Mobile Hydraulics and Electronics Product 22,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,14660.11
23,Gear Technology Product 23,Gear Technology,High-quality gear technology solution designed for industrial use.,3456.34
24,Resistance Welding Product 24,Resistance Welding,High-quality resistance welding solution designed for industrial use.,19587.28
25,Moulding and Casting Technologies Product 25,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,14357.3
26,Mobile Robotics Product 26,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,14225.73
27,Tightening Technology Product 27,Tightening Technology,High-quality tightening technology solution designed for industrial use.,17248.45
28,Tightening Technology Product 28,Tightening Technology,High-quality tightening technology solution designed for industrial use.,715.28
29,Mobile Hydraulics and Electronics Product 29,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,16101.7
30,Moulding and Casting Technologies Product 30,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,18619.25
31,Resistance Welding Product 31,Resistance Welding,High-quality resistance welding solution designed for industrial use.,5499.19
32,Kassow Robots Product 32,Kassow Robots,High-quality kassow robots solution designed for industrial use.,8049.55
33,Industrial Hydraulics Product 33,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,4716.59
34,Kassow Robots Product 34,Kassow Robots,High-quality kassow robots solution designed for industrial use.,12756.6
35,Industrial Hydraulics Product 35,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,12869.85
36,Electric Drives and Controls Product 36,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,1860.82
37,Mobile Robotics Product 37,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,12367.18
38,Industrial Hydraulics Product 38,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,17828.22
39,Mobile Robotics Product 39,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,5774.01
40,Tightening Technology Product 40,Tightening Technology,High-quality tightening technology solution designed for industrial use.,13431.01
41,Assembly Technology Product 41,Assembly Technology,High-quality assembly technology solution designed for industrial use.,4839.5
42,Mobile Robotics Product 42,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,8899.19
43,Industrial Hydraulics Product 43,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,19803.79
44,Industrial Hydraulics Product 44,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,14352.27
45,Mobile Robotics Product 45,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,9244.58
46,Electric Drives and Controls Product 46,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,6744.38
47,Linear Motion Technology Product 47,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,18331.95
48,Resistance Welding Product 48,Resistance Welding,High-quality resistance welding solution designed for industrial use.,3104.64
49,Moulding and Casting Technologies Product 49,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,15501.48
50,Mobile Robotics Product 50,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,2621.36
51,Mobile Robotics Product 51,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,12546.93
52,Tightening Technology Product 52,Tightening Technology,High-quality tightening technology solution designed for industrial use.,7098.97
53,Moulding and Casting Technologies Product 53,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,507.94
54,Assembly Technology Product 54,Assembly Technology,High-quality assembly technology solution designed for industrial use.,13161.57
55,Gear Technology Product 55,Gear Technology,High-quality gear technology solution designed for industrial use.,12026.59
56,Linear Motion Technology Product 56,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,15221.7
57,Linear Motion Technology Product 57,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,17118.51
58,Moulding and Casting Technologies Product 58,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,3996.98
59,Kassow Robots Product 59,Kassow Robots,High-quality kassow robots solution designed for industrial use.,2288.68
60,Gear Technology Product 60,Gear Technology,High-quality gear technology solution designed for industrial use.,19688.83
61,Mobile Hydraulics and Electronics Product 61,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,6084.29
62,Electric Drives and Controls Product 62,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,3748.71
63,Gear Technology Product 63,Gear Technology,High-quality gear technology solution designed for industrial use.,9034.03
64,Moulding and Casting Technologies Product 64,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,12503.36
65,Mobile Robotics Product 65,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,15630.75
66,Assembly Technology Product 66,Assembly Technology,High-quality assembly technology solution designed for industrial use.,12115.51
67,Gear Technology Product 67,Gear Technology,High-quality gear technology solution designed for industrial use.,12829.24
68,Hägglunds Product 68,Hägglunds,High-quality hägglunds solution designed for industrial use.,2232.01
69,Mobile Robotics Product 69,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,9428.52
70,Mobile Hydraulics and Electronics Product 70,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,8231.41
71,Mobile Hydraulics and Electronics Product 71,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,10793.78
72,Industrial Hydraulics Product 72,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,639.23
73,Kassow Robots Product 73,Kassow Robots,High-quality kassow robots solution designed for industrial use.,6904.6
74,Kassow Robots Product 74,Kassow Robots,High-quality kassow robots solution designed for industrial use.,9511.12
75,Mobile Hydraulics and Electronics Product 75,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,17396.21
76,Hägglunds Product 76,Hägglunds,High-quality hägglunds solution designed for industrial use.,1046.93
77,Moulding and Casting Technologies Product 77,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,15288.36
78,Kassow Robots Product 78,Kassow Robots,High-quality kassow robots solution designed for industrial use.,18922.29
79,Linear Motion Technology Product 79,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,10307.22
80,Tightening Technology Product 80,Tightening Technology,High-quality tightening technology solution designed for industrial use.,7259.86
81,Kassow Robots Product 81,Kassow Robots,High-quality kassow robots solution designed for industrial use.,7914.15
82,Electric Drives and Controls Product 82,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,5419.86
83,Linear Motion Technology Product 83,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,11865.96
84,Mobile Robotics Product 84,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,13646.26
85,Electric Drives and Controls Product 85,Electric Drives and Controls,High-quality electric drives and controls solution designed for industrial use.,16862.73
86,Kassow Robots Product 86,Kassow Robots,High-quality kassow robots solution designed for industrial use.,17083.43
87,Mobile Robotics Product 87,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,2500.48
88,Moulding and Casting Technologies Product 88,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,19516.64
89,Mobile Hydraulics and Electronics Product 89,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,16006.31
90,Hägglunds Product 90,Hägglunds,High-quality hägglunds solution designed for industrial use.,13351.49
91,Gear Technology Product 91,Gear Technology,High-quality gear technology solution designed for industrial use.,16862.76
92,Industrial Hydraulics Product 92,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,19378.16
93,Mobile Robotics Product 93,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,12738.45
94,Assembly Technology Product 94,Assembly Technology,High-quality assembly technology solution designed for industrial use.,14444.44
95,Kassow Robots Product 95,Kassow Robots,High-quality kassow robots solution designed for industrial use.,15502.48
96,Assembly Technology Product 96,Assembly Technology,High-quality assembly technology solution designed for industrial use.,8088.42
97,Resistance Welding Product 97,Resistance Welding,High-quality resistance welding solution designed for industrial use.,7128.7
98,Hägglunds Product 98,Hägglunds,High-quality hägglunds solution designed for industrial use.,6635.73
99,Hägglunds Product 99,Hägglunds,High-quality hägglunds solution designed for industrial use.,5749.77
100,Mobile Robotics Product 100,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,12542.51
101,Tightening Technology Product 101,Tightening Technology,High-quality tightening technology solution designed for industrial use.,7844.57
102,Mobile Hydraulics and Electronics Product 102,Mobile Hydraulics and Electronics,High-quality mobile hydraulics and electronics solution designed for industrial use.,14882.65
103,Assembly Technology Product 103,Assembly Technology,High-quality assembly technology solution designed for industrial use.,13552.98
104,Resistance Welding Product 104,Resistance Welding,High-quality resistance welding solution designed for industrial use.,8931.77
105,Moulding and Casting Technologies Product 105,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,9858.55
106,Hägglunds Product 106,Hägglunds,High-quality hägglunds solution designed for industrial use.,8272.27
107,Tightening Technology Product 107,Tightening Technology,High-quality tightening technology solution designed for industrial use.,17920.86
108,Hägglunds Product 108,Hägglunds,High-quality hägglunds solution designed for industrial use.,8691.91
109,Linear Motion Technology Product 109,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,3785.92
110,Gear Technology Product 110,Gear Technology,High-quality gear technology solution designed for industrial use.,14535.5
111,Kassow Robots Product 111,Kassow Robots,High-quality kassow robots solution designed for industrial use.,2432.81
112,Gear Technology Product 112,Gear Technology,High-quality gear technology solution designed for industrial use.,9039.07
113,Linear Motion Technology Product 113,Linear Motion Technology,High-quality linear motion technology solution designed for industrial use.,10200.84
114,Assembly Technology Product 114,Assembly Technology,High-quality assembly technology solution designed for industrial use.,8588.0
115,Hägglunds Product 115,Hägglunds,High-quality hägglunds solution designed for industrial use.,6419.35
116,Mobile Robotics Product 116,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,9597.62
117,Industrial Hydraulics Product 117,Industrial Hydraulics,High-quality industrial hydraulics solution designed for industrial use.,9011.67
118,Mobile Robotics Product 118,Mobile Robotics,High-quality mobile robotics solution designed for industrial use.,7390.98
119,Resistance Welding Product 119,Resistance Welding,High-quality resistance welding solution designed for industrial use.,10372.89
120,Assembly Technology Product 120,Assembly Technology,High-quality assembly technology solution designed for industrial use.,2395.77
121,Resistance Welding Product 121,Resistance Welding,High-quality resistance welding solution designed for industrial use.,17129.43
122,Moulding and Casting Technologies Product 122,Moulding and Casting Technologies,High-quality moulding and casting technologies solution designed for industrial use.,9310.96
